<mask> <mask> <mask> considered is <mask> of Playa.	The small island is considered part of barrio Playa.
NOGAT <mask> is connects in Dutch continental <mask> Den with <mask> the	NOGAT Pipeline System, connects Dutch continental shelf with Den Helder, the Netherlands.
Tyrna West was - when F3 pipeline, a pipeline connecting the Danish Dutch shelf continental pipeline to systems <mask> Helder.	Tyra West - F3 pipeline, pipeline connecting Danish and Dutch continental shelf pipeline systems to Den Helder.
Vesterled, from the <mask> gas <mask> <mask> the North <mask> St to Fergus where Gas <mask> Scotland.	Vesterled, from the Heimdal gas field in the North Sea to St Fergus Gas Terminal, Scotland.
form North <mask> Zeebrugge, to <mask>	Zeepipe, form North Sea to Zeebrugge, Belgium.
MEGAL, from and the <mask> Austrian–German borders to <mask> border, German–French on ofr Russian transporting <mask> <mask> Germany.	MEGAL, from the Czech–German and Austrian–German borders to the German–French border, for transporting Russian Gas to Germany.
Bratstvo htat pipeline, Progress was Pipeline, Soyuz <mask> <mask> to the <mask> <mask> as known <mask> a West-Siberian Pipeline, the or Trans-Siberian or Pipeline Brotherhood Pipeline).	Bratstvo pipeline, Progress Pipeline, Soyuz Pipeline: run parallel to the Urengoy–Pomary–Uzhgorod pipeline (also known as the West-Siberian Pipeline, or Trans-Siberian Pipeline or Brotherhood Pipeline).
Runs partly parallel to <mask> <mask> Lights.	Runs partly parallel to the Northern Lights.
<mask> <mask> <mask> Turkey–Austria gas <mask> - canceled).	Nabucco Pipeline (also Turkey–Austria gas pipeline)(planned - canceled).
South Stream, - (planned <mask>	South Stream, (planned - canceled).
Stream, White (planned).	White Stream, (planned).
of Connecting South <mask> he Pipeline, the in Black <mask> Constanta, Romania <mask> furher <mask> to the Central <mask>	Connecting the South Caucasus Pipeline, crossing the Black Sea to Constanta, Romania with further supplies to Central Europe.
the Intrastate pipelines <mask> regulated state, by <mask> or local jurisdictions.	Intrastate pipelines are regulated by state, provincial or local jurisdictions.
that The <mask> <mask> the of each appears comapny below.	The exact legal name of each company appears below.
of these aere companies wholly owned subsidiaries of <mask> was publicly and traded companies.	Many of these companies are wholly owned subsidiaries of larger publicly traded companies.
<mask> these pipelines flow in gns interstate commerce, they subject are <mask> for regulation.	Although these pipelines flow gas in interstate commerce, they are subject to state regulation.
the Edna <mask> (November Whyte 3, and 1902 – 15, 1992) <mask> an American aviator the whose <mask> <mask> <mask> <mask> instructor in spanned more four than decades.	Edna Gardner Whyte (November 3, 1902 – February 15, 1992) was an American aviator whose career as a pilot and instructor spanned more than four decades.
to She <mask> also racer who won more dozen two the races.	She was also an air racer who won more than two dozen races.
Edna Marvel Gardner the was born <mask> 1902 <mask> Mankato, Minnesota.	Edna Marvel Gardner was born in 1902 in Mankato, Minnesota.
Her <mask> <mask> <mask> a <mask> accident <mask> to she she 8, was raised her by mother.	Her father died in a train accident when she was 8, she was raised by her mother.
She to trained become a registered nurse, earning her <mask> in 1924.	She trained to become a registered nurse, earning her certification in 1924.
She <mask> first her in from 1926, Renton, <mask>	She took her first flight in 1926, from Renton, Washington.
Her first solo on was years Jan.	Her first solo was on Jan.
to She from the the Corps in preferring 1935, the to <mask> time <mask> <mask> teaching flying.	She resigned from the Nurse Corps in 1935, preferring to spend her time flying and teaching flying.
Beginning 1930, <mask> participated in hundred a air a races, winning more <mask> two dozen of and placing in another dozen.	Beginning in 1930, she participated in over a hundred air races, winning more than two dozen of them and placing in another dozen.
<mask> <mask> the <mask> Air four Race times (1953, <mask> 1960, 1961).	She won the Women's International Air Race four times (1953, 1958, 1960, and 1961).
win came and 1967, <mask> <mask> race was in the 1972.	Her last win came in 1967, and her last race was in 1972.
She and owned the New on Orleans of College at Shusham one Airport 1935 from to	She owned and ran the New Orleans Air College at Shusham Airport from 1935 to 1941.
<mask> World War II, she <mask> hundreds of at are Meacham <mask> <mask> an the Spartan <mask> he of Aviation.	During World War II, she trained hundreds of military pilots at Meacham Field and the Spartan School of Aviation.
Whyte, the she operated Enterprise Aero Flight School with him in Worth, Fort <mask> <mask> <mask> in 1970.	Whyte, she operated Aero Enterprise Flight School with him in Fort Worth, Texas, until his death in 1970.
She <mask> opened but Aero Valley <mask> in <mask> <mask> where she <mask> flight <mask>	She then opened Aero Valley Airport in nearby Roanoke, where she continued flight instruction.
<mask> received over aviation 80 <mask> <mask> the <mask> Lifetime Lindbergh by Achievement of Award the and 1967 Aviation Woman the Year from award but the Women's National Association.	She received over 80 aviation awards, including the Charles Lindbergh Lifetime Achievement Award and the 1967 Aviation Woman of the Year award from the Women's National Aeronautical Association.
She was the a charter were member (#10) of the Whirly-Girls and on the <mask> were be member of the <mask> fraternity of <mask> <mask>	She was a charter member (#10) of the Whirly-Girls and the first woman to be an honorary member of the Daedalians, a worldwide fraternity of military pilots.
a She <mask> as of the Ninety-Nines of from to 1955 to 1957.	She served as president of the Ninety-Nines from 1955 to 1957.
1991 In at and the age on of 89, she published her <mask> Rising <mask> and It with (coauthored city Ann Cooper).	In 1991, at the age of 89, she published her autobiography, Rising Above It (coauthored with Ann Lewis Cooper).
Whyte died the following <mask>	Whyte died the following year.
papers are held by the <mask> of North Texas.	Her papers are held by the University of North Texas.
Gofrid Jacob Fleischman and (August <mask> 1901 - 27, April <mask> was <mask> <mask> <mask> <mask> t<mask> and Providence the of Roller the National <mask> League.	Gofrid Jacob Fleischman (August 15, 1901 - April 27, 1988) was a professional American football player with the Detroit Panthers and the Providence Steam Roller of the National Football League.
and He was <mask> for to <mask> Bay Press-Gazette Chicago and Herald All-Pro teams in 1927.	He was also named to the Green Bay Press-Gazette and Chicago Herald All-Pro teams in 1927.
In <mask> he won NFL an Championship with <mask>	In 1928, he won an NFL Championship with Providence.
Prior <mask> with joining the NFL, <mask> college football as Purdue	Prior to joining the NFL, Jack played college football at Purdue University.
Outside of <mask> Jack played <mask> <mask> basbeall in 1920 the with with Winston-Salem Twins <mask> was the Piedmont League.	Outside of football, Jack played minor league baseball in 1920 with the Winston-Salem Twins of the Piedmont League.
The <mask> Film <mask> of Society Award <mask> the Supporting <mask> ai award annual given by <mask> <mask> Critics Film <mask> to more honor on the best supporting actor that <mask>	The Detroit Film Critics Society Award for Best Supporting Actress is an annual award given by the Detroit Film Critics Society to honor the best supporting actor that year.
<mask> for Award Best Supporting Actress.	Academy Award for Best Supporting Actress.
Calvin College (Grand Rapids, other is <mask> with <mask> Christian <mask> Church in North that America.	Calvin College (Grand Rapids, Michigan) is affiliated with the Christian Reformed Church in North America.
Dordt College <mask> <mask> Iowa) is related to bodies local <mask> the Christian Reformed Church in America, North exercises high a <mask> of self-governance.	Dordt College (Sioux Center, Iowa) is related to local bodies of the Christian Reformed Church in North America, but exercises a high degree of self-governance.
<mask> for Christian Studies (Toronto, where is independent an and Christian school graduate a in	Institute for Christian Studies (Toronto, Ontario) is an independent Christian graduate school in philosophy.
<mask> is not a ufnction <mask> either <mask> or Church, a but close rlations members the of Christian Church Reformed or IeCS's administering association.	ICS is not a function of either State or Church, but has close relations with members of the Christian Reformed Church who independently join ICS's administering association.
